TEAM,YEAR,G,W,L,PCT,R,HR,BB,SO,SB,AVG,OBP,SAC,SF,GIDP,GO,GO/AO,AB/HR
Oakland Athletics,2002,162,103,59,0.636,800,205,609,1008,46,0.261,0.339,20,36,128,1510,0.92,27.11
Oakland Athletics,2003,162,96,66,0.593,768,176,556,898,48,0.254,0.327,22,53,118,1589,0.94,31.23
Oakland Athletics,2004,162,91,71,0.562,793,189,608,1061,47,0.27,0.343,25,43,142,1502,0.89,30.31
Oakland Athletics,2005,162,88,74,0.543,772,155,537,819,31,0.262,0.33,19,40,148,1645,0.94,36.3
Oakland Athletics,2006,162,93,69,0.574,771,175,650,976,61,0.26,0.34,25,56,170,1543,0.94,31.43
Oakland Athletics,2007,162,76,86,0.469,741,171,664,1119,52,0.256,0.338,18,56,142,1457,0.89,32.61
Oakland Athletics,2008,161,75,86,0.466,646,125,574,1226,88,0.242,0.318,30,35,126,1408,0.9,43.61
Oakland Athletics,2009,162,75,87,0.463,759,135,527,1046,133,0.262,0.328,31,54,130,1491,0.89,41.36
Oakland Athletics,2010,162,81,81,0.5,663,109,527,1061,156,0.256,0.324,43,51,129,1476,0.92,49.98
Oakland Athletics,2011,162,74,88,0.457,645,114,509,1094,117,0.244,0.311,34,57,119,1469,0.89,47.82
Oakland Athletics,2012,162,94,68,0.58,713,195,550,1387,122,0.238,0.31,27,34,97,1319,0.84,28.34
Oakland Athletics,2013,162,96,66,0.593,767,186,573,1178,74,0.254,0.327,21,49,108,1280,0.74,29.68
Oakland Athletics,2014,162,88,74,0.543,729,146,586,1104,83,0.244,0.32,19,43,118,1358,0.76,37.98
Oakland Athletics,2015,162,68,94,0.42,694,146,475,1119,78,0.251,0.312,14,38,124,1580,1.02,38.36
Oakland Athletics,2016,162,69,93,0.426,653,169,442,1145,50,0.246,0.304,13,34,142,1473,0.93,32.54
Oakland Athletics,2017,162,75,87,0.463,739,234,565,1491,57,0.246,0.319,13,40,129,1185,0.79,23.35
Oakland Athletics,2018,162,97,65,0.599,813,227,550,1381,35,0.252,0.325,6,44,136,1289,0.83,24.58
Oakland Athletics,2019,162,97,65,0.599,845,257,578,1338,49,0.249,0.327,7,36,140,1367,0.9,21.64
New York Yankees,2000,161,87,74,0.54,871,205,631,1007,99,0.277,0.354,16,50,134,1524,1,27.1
New York Yankees,2001,161,95,65,0.594,804,203,519,1035,161,0.267,0.334,30,43,119,1532,0.98,27.47
New York Yankees,2002,161,103,58,0.64,897,223,640,1171,100,0.275,0.354,23,41,150,1468,1,25.12
New York Yankees,2003,163,101,61,0.623,877,230,684,1042,98,0.271,0.356,25,35,154,1594,1.05,24.37
New York Yankees,2004,162,101,61,0.623,897,242,670,982,84,0.268,0.353,37,50,157,1610,1.05,22.84
New York Yankees,2005,162,95,67,0.586,886,229,637,989,84,0.276,0.355,28,43,125,1659,1.11,24.56
New York Yankees,2006,162,97,65,0.599,930,210,649,1053,139,0.285,0.363,34,49,139,1637,1.14,26.91
New York Yankees,2007,162,94,68,0.58,968,201,637,991,123,0.29,0.366,41,54,138,1706,1.17,28.44
New York Yankees,2008,162,89,73,0.549,789,180,535,1015,118,0.271,0.342,31,39,149,1628,1.09,30.96
New York Yankees,2009,162,103,59,0.636,915,244,663,1014,111,0.283,0.362,31,39,144,1602,1.06,23.2
New York Yankees,2010,162,95,67,0.586,859,201,662,1136,103,0.267,0.35,33,44,124,1558,1.06,27.7
New York Yankees,2011,162,97,65,0.599,867,222,627,1138,147,0.263,0.343,36,51,146,1594,1.12,24.86
New York Yankees,2012,162,95,67,0.586,804,245,565,1176,93,0.265,0.337,31,49,136,1588,1.15,22.55
New York Yankees,2013,162,85,77,0.525,650,144,466,1214,115,0.242,0.307,36,36,121,1497,1,37.84
New York Yankees,2014,162,84,78,0.519,633,147,452,1133,112,0.245,0.307,29,47,111,1541,0.99,37.4
New York Yankees,2015,162,87,75,0.537,764,212,554,1227,63,0.251,0.323,24,54,105,1453,0.93,26.26
New York Yankees,2016,162,84,78,0.519,680,183,475,1188,72,0.252,0.315,21,49,121,1516,1.05,29.82
New York Yankees,2017,162,91,71,0.562,858,241,616,1386,90,0.262,0.339,18,56,119,1401,0.99,23.21
New York Yankees,2018,162,100,62,0.617,851,267,625,1421,63,0.249,0.329,10,59,107,1337,0.92,20.66
New York Yankees,2019,162,103,59,0.636,943,306,569,1437,55,0.267,0.339,10,33,113,1318,0.96,18.24
Minnesota Twins ,2000,162,69,93,0.426,748,116,556,1021,90,0.27,0.337,24,51,142,1727,1.24,48.4
Minnesota Twins ,2001,162,85,77,0.525,771,164,495,1083,146,0.272,0.337,25,38,124,1609,1.15,33.9
Minnesota Twins ,2002,161,94,67,0.584,768,167,472,1089,79,0.272,0.332,34,52,121,1612,1.13,33.42
Minnesota Twins ,2003,162,90,72,0.556,801,155,512,1027,94,0.277,0.341,42,52,139,1708,1.18,36.48
Minnesota Twins ,2004,162,92,70,0.568,780,191,513,982,116,0.266,0.332,46,40,130,1686,1.09,29.44
Minnesota Twins ,2005,162,83,79,0.512,688,134,485,978,102,0.259,0.323,42,42,155,1831,1.31,41.52
Minnesota Twins ,2006,162,96,66,0.593,801,143,490,872,101,0.287,0.347,31,55,163,1751,1.2,39.18
Minnesota Twins ,2007,162,79,83,0.488,718,118,512,839,112,0.264,0.33,34,45,149,1852,1.28,46.8
Minnesota Twins ,2008,163,88,75,0.54,829,111,529,979,102,0.279,0.34,52,72,142,1743,1.18,50.82
Minnesota Twins ,2009,163,87,76,0.534,817,172,585,1021,85,0.274,0.345,51,57,147,1680,1.14,32.6
Minnesota Twins ,2010,162,94,68,0.58,781,142,559,967,68,0.273,0.341,38,53,159,1720,1.19,39.21
Minnesota Twins ,2011,162,63,99,0.389,619,103,440,1048,92,0.247,0.306,31,25,115,1699,1.18,53.27
Minnesota Twins ,2012,162,66,96,0.407,701,131,505,1069,135,0.26,0.325,33,56,149,1736,1.24,42.46
Minnesota Twins ,2013,162,66,96,0.407,614,151,533,1430,52,0.242,0.312,29,32,103,1427,1,36.85
Minnesota Twins ,2014,162,70,92,0.432,715,128,544,1329,99,0.254,0.324,25,44,97,1446,1,43.49
Minnesota Twins ,2015,162,83,79,0.512,696,156,439,1264,70,0.247,0.305,30,41,133,1501,1.05,35.04
Minnesota Twins ,2016,162,59,103,0.364,722,200,513,1426,91,0.251,0.316,27,43,96,1401,0.96,28.09
Minnesota Twins ,2017,162,85,77,0.525,815,206,593,1342,95,0.26,0.334,26,39,105,1375,0.94,26.98
Minnesota Twins ,2018,162,78,84,0.481,738,166,534,1328,47,0.25,0.318,19,38,89,1320,0.85,33.29
Minnesota Twins ,2019,162,101,61,0.623,939,307,525,1334,28,0.27,0.338,10,41,101,1322,0.84,18.67
Chicago Cubs ,2000,162,65,97,0.401,764,183,632,1120,93,0.256,0.335,89,45,114,1670,1.14,30.48
Chicago Cubs ,2001,162,88,74,0.543,777,194,577,1077,67,0.261,0.336,117,53,132,1663,1.18,27.87
Chicago Cubs ,2002,162,67,95,0.414,706,200,585,1269,63,0.246,0.321,78,39,117,1545,1.08,27.48
Chicago Cubs ,2003,162,88,74,0.543,724,172,492,1158,73,0.259,0.323,80,46,135,1619,1.13,32.09
Chicago Cubs ,2004,162,89,73,0.549,789,235,489,1080,66,0.268,0.328,78,48,120,1607,1.03,23.95
Chicago Cubs ,2005,162,79,83,0.488,703,194,419,920,65,0.27,0.324,69,37,131,1699,1.09,28.78
Chicago Cubs ,2006,162,66,96,0.407,716,166,395,928,121,0.268,0.319,84,37,135,1797,1.21,33.66
Chicago Cubs ,2007,162,85,77,0.525,752,151,500,1054,86,0.271,0.333,48,37,127,1627,1.07,37.37
Chicago Cubs ,2008,161,97,64,0.602,855,184,636,1186,87,0.278,0.354,65,45,134,1523,1.06,30.37
Chicago Cubs ,2009,161,83,78,0.516,707,161,592,1185,56,0.255,0.332,65,42,134,1550,1.06,34.08
Chicago Cubs ,2010,162,75,87,0.463,685,149,479,1236,55,0.257,0.32,60,38,124,1548,1.1,36.99
Chicago Cubs ,2011,162,71,91,0.438,654,148,425,1202,69,0.256,0.314,60,35,123,1566,1.08,37.49
Chicago Cubs ,2012,162,61,101,0.377,613,137,447,1235,94,0.24,0.302,42,24,125,1592,1.18,39.5
Chicago Cubs ,2013,162,66,96,0.407,602,172,439,1230,63,0.238,0.3,43,30,120,1547,1.04,31.96
Chicago Cubs ,2014,162,73,89,0.451,614,157,442,1477,65,0.239,0.3,57,41,94,1404,1,35.08
Chicago Cubs ,2015,162,97,65,0.599,689,171,567,1518,95,0.244,0.321,32,35,101,1361,1.02,32.11
Chicago Cubs ,2016,162,103,58,0.64,808,199,656,1339,66,0.256,0.343,42,37,107,1414,1,27.65
Chicago Cubs ,2017,162,92,70,0.568,822,223,622,1401,62,0.255,0.338,48,32,134,1501,1.18,24.65
Chicago Cubs ,2018,163,95,68,0.583,761,167,576,1388,66,0.258,0.333,40,46,107,1532,1.15,33.68
Chicago Cubs ,2019,162,84,78,0.519,814,256,581,1460,45,0.252,0.331,30,39,127,1474,1.21,21.33
Boston Red Sox,2000,162,85,77,0.525,792,167,611,1019,43,0.267,0.341,40,48,115,1501,0.9,33.71
Boston Red Sox,2001,161,82,79,0.509,772,198,520,1131,46,0.266,0.334,28,41,132,1499,0.99,28.31
Boston Red Sox,2002,162,93,69,0.574,859,177,545,944,80,0.277,0.345,22,53,139,1588,0.99,31.86
Boston Red Sox,2003,162,95,67,0.586,961,238,620,943,88,0.289,0.36,24,64,126,1479,0.84,24.24
Boston Red Sox,2004,162,98,64,0.605,949,222,659,1189,68,0.282,0.36,12,55,123,1418,0.9,25.77
Boston Red Sox,2005,162,95,67,0.586,910,199,653,1044,45,0.281,0.357,14,63,135,1488,0.93,28.27
Boston Red Sox,2006,162,86,76,0.531,820,192,672,1056,51,0.269,0.351,22,56,136,1445,0.86,29.27
Boston Red Sox,2007,162,96,66,0.593,867,166,689,1042,96,0.279,0.362,30,54,146,1500,0.96,33.67
Boston Red Sox,2008,162,95,67,0.586,845,173,646,1068,120,0.28,0.358,28,62,147,1456,0.91,32.35
Boston Red Sox,2009,162,95,67,0.586,872,212,659,1120,126,0.27,0.352,19,51,137,1377,0.85,26.15
Boston Red Sox,2010,162,89,73,0.549,818,211,587,1140,68,0.268,0.339,29,46,130,1413,0.85,26.76
Boston Red Sox,2011,162,90,72,0.556,875,203,578,1108,102,0.28,0.349,22,50,136,1527,0.99,28.13
Boston Red Sox,2012,162,69,93,0.426,734,165,428,1197,97,0.26,0.315,34,55,105,1503,0.98,33.96
Boston Red Sox,2013,162,97,65,0.599,853,178,581,1308,123,0.277,0.349,24,50,137,1397,0.96,31.75
Boston Red Sox,2014,162,71,91,0.438,634,123,535,1337,63,0.244,0.316,20,52,138,1481,1.02,45.13
Boston Red Sox,2015,162,78,84,0.481,748,161,478,1148,71,0.265,0.325,30,42,127,1629,1.13,35.03
Boston Red Sox,2016,162,93,69,0.574,878,208,558,1160,83,0.282,0.348,8,40,137,1500,1.03,27.26
Boston Red Sox,2017,162,93,69,0.574,785,168,571,1224,106,0.258,0.329,9,36,141,1554,1.05,33.74
Boston Red Sox,2018,162,108,54,0.667,876,208,569,1253,125,0.268,0.339,7,48,130,1461,1,27.03
Boston Red Sox,2019,162,84,78,0.519,901,245,590,1382,68,0.269,0.34,20,44,127,1462,1.02,23.55
